Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
333,Activa - HET,NRB,4,,,,HET,4,HET,NRB,4,
334,Activa - HET,NRB,5,,,,HET,5,HET,NRB,5,
335,Activa - HET,NRB,6,,,,HET,6,HET,NRB,6,
336,Activa - HET,NRB,7,,,,HET,7,HET,NRB,7,
337,Activa - HET 125,Local,STD,,,,HET,STD,HET,Local,STD,
338,Activa - HET 125,Local,1,,,,HET,1,HET,Local,1,
339,Activa - HET 125,Local,2,,,,HET,2,HET,Local,2,
340,Activa - HET 125,Local,3,,,,HET,3,HET,Local,3,
341,Activa - HET 125,Local,4,,,,HET,4,HET,Local,4,
342,Activa - HET 125,Local,5,,,,HET,5,HET,Local,5,
343,Activa - HET 125,Local,6,,,,HET,6,HET,Local,6,
344,Activa - HET 125,Local,7,,,,HET,7,HET,Local,7,
345,Activa - HET 125,NRB,STD,,,,HET,STD,HET,NRB,STD,
346,Activa - HET 125,NRB,1,,,,HET,1,HET,NRB,1,
347,Activa - HET 125,NRB,2,,,,HET,2,HET,NRB,2,
348,Activa - HET 125,NRB,3,,,,HET,3,HET,NRB,3,
349,Activa - HET 125,NRB,4,,,,HET,4,HET,NRB,4,
350,Activa - HET 125,NRB,5,,,,HET,5,HET,NRB,5,
351,Activa - HET 125,NRB,6,,,,HET,6,HET,NRB,6,
352,Activa - HET 125,NRB,7,,,,HET,7,HET,NRB,7,
353,Twister,Local,STD,,,,Twister,STD,HET,Local,STD,
354,Twister,Local,1,,,,Twister,1,HET,Local,1,
355,Twister,Local,2,,,,Twister,2,HET,Local,2,
356,Twister,Local,3,,,,Twister,3,HET,Local,3,
357,Twister,Local,4,,,,Twister,4,HET,Local,4,
358,Twister,Local,5,,,,Twister,5,HET,Local,5,
359,Twister,Local,6,,,,Twister,6,HET,Local,6,
360,Twister,Local,7,,,,Twister,7,HET,Local,7,
361,Twister,NRB,STD,,,,Twister,STD,HET,NRB,STD,
362,Twister,NRB,1,,,,Twister,1,HET,NRB,1,
363,Twister,NRB,2,,,,Twister,2,HET,NRB,2,
364,Twister,NRB,3,,,,Twister,3,HET,NRB,3,
365,Twister,NRB,4,,,,Twister,4,HET,NRB,4,
366,Twister,NRB,5,,,,Twister,5,HET,NRB,5,
367,Twister,NRB,6,,,,Twister,6,HET,NRB,6,
368,Twister,NRB,7,,,,Twister,7,HET,NRB,7,
369,Dream Yuga,Local,STD,,,,Twister,STD,HET,Local,STD,
370,Dream Yuga,Local,1,,,,Twister,1,HET,Local,1,
371,Dream Yuga,Local,2,,,,Twister,2,HET,Local,2,
